demand_idx,demand_id,facility_idx,facility_id
275,06690102,153,06670189
276,06700288,101,06760111
277,06713050,3,07810101
278,06720299,180,07060203
279,06733050,153,06670189
280,06740110,101,06760111
281,06110386,101,06760111
282,06110286,101,06760111
283,06110204,101,06760111
284,06110198,101,06760111
285,06110186,101,06760111
286,06110105,101,06760111
287,06120105,101,06760111
288,06131050,118,06542050
289,07630201,3,07810101
290,06140110,101,06760111
291,06150502,118,06542050
292,06150182,118,06542050
293,07710112,153,06670189
294,06385054,3,07810101
295,06380389,3,07810101
296,06380196,3,07810101
297,06390193,101,06760111
298,07450195,101,06760111
299,07920273,101,06760111
300,06314058,153,06670189
301,06312052,3,07810101
302,06311056,3,07810101
303,06311054,3,07810101
304,06310290,3,07810101
305,06310190,3,07810101
306,06310115,3,07810101
307,06310104,3,07810101
308,06334066,3,07810101
309,06333056,3,07810101
310,06332066,3,07810101
311,06332056,3,07810101
312,06331069,3,07810101
313,06331064,3,07810101
314,06331054,3,07810101
315,06330707,3,07810101
316,06330381,3,07810101
317,06330373,3,07810101
318,06330209,3,07810101
319,06330192,3,07810101
320,06330188,3,07810101
321,06330175,3,07810101
322,06330103,3,07810101
323,06330101,3,07810101
324,06340308,101,06760111
325,06351554,101,06760111
326,07724050,3,07810101
327,06420198,153,06670189
328,06445067,153,06670189
329,06445055,3,07810101
330,06445052,3,07810101
331,06444069,153,06670189
332,06444054,3,07810101
333,06444053,153,06670189
334,06443070,3,07810101
335,06443060,153,06670189
336,06442055,3,07810101
337,06442054,153,06670189
338,06441070,153,06670189
339,06440810,153,06670189
340,06440497,153,06670189
341,06440276,153,06670189
342,06440202,153,06670189
343,06440176,153,06670189
344,06440172,3,07810101
345,06440105,153,06670189
346,06440103,153,06670189
347,07733050,3,07810101
348,07280201,101,06760111
349,07480195,118,06542050
350,07490205,118,06542050
351,06060199,101,06760111
352,06070101,153,06670189
353,06073052,153,06670189
354,06080198,3,07810101
355,07460198,180,07060203
356,07460190,3,07810101
357,07470205,153,06670189
358,07470199,153,06670189
359,07470111,153,06670189
