id,latitude,longitude,capacity
06364050,33.524715,-82.1473285,400.0
06761054,32.4675025,-83.7256491,600.0
06910205,31.7069881,-81.7431917,200.0
06670805,34.0133695,-84.0861034,1600.0
06331054,33.8870208,-84.5257414,400.0
